Step   33000 (g20.9+d64.8)s       | [D] min: 0.14       max: 2.36      | [R_te] min: 311.19         max: 391.66         Avg: 351.54 (7.05)       | ent 0.002 | w_noise: [0.01617 0.01774 0.02540 0.06469 0.13015 0.25735 0.34319 0.44707 0.53509 0.65851]
Step   34000 (g21.0+d64.8)s       | [D] min: 0.12       max: 2.17      | [R_te] min: 270.15         max: 355.74         Avg: 317.06 (8.18)       | ent 0.002 | w_noise: [0.01625 0.01773 0.02550 0.06498 0.13054 0.25710 0.34357 0.44870 0.53616 0.65791]
Step   35000 (g21.0+d64.9)s       | [D] min: 0.17       max: 1.47      | [R_te] min: 287.82         max: 390.99         Avg: 332.19 (9.20)       | ent 0.002 | w_noise: [0.01614 0.01764 0.02533 0.06482 0.12998 0.25761 0.34229 0.44863 0.53569 0.65700]
Step   36000 (g21.1+d65.2)s       | [D] min: 0.11       max: 1.49      | [R_te] min: 314.39         max: 439.69         Avg: 368.33 (11.04)      | ent 0.001 | w_noise: [0.01617 0.01764 0.02541 0.06485 0.12985 0.25783 0.34381 0.44985 0.53711 0.65884]
Step   37000 (g21.7+d66.7)s       | [D] min: 0.12       max: 2.08      | [R_te] min: 258.57         max: 346.07         Avg: 319.50 (8.05)       | ent 0.001 | w_noise: [0.01603 0.01757 0.02530 0.06478 0.13018 0.25779 0.34451 0.44990 0.53877 0.66066]
Step   38000 (g21.7+d66.5)s       | [D] min: 0.11       max: 1.80      | [R_te] min: 299.15         max: 433.28         Avg: 360.68 (12.24)      | ent 0.001 | w_noise: [0.01596 0.01755 0.02512 0.06445 0.12973 0.25792 0.34426 0.44933 0.53817 0.65996]
Step   39000 (g21.7+d66.5)s       | [D] min: 0.01       max: 1.59      | [R_te] min: 312.21         max: 371.55         Avg: 350.50 (6.85)       | ent 0.001 | w_noise: [0.01591 0.01745 0.02503 0.06441 0.12952 0.25748 0.34449 0.44912 0.53835 0.65871]
Step   40000 (g21.7+d66.6)s       | [D] min: 0.14       max: 2.77      | [R_te] min: 253.60         max: 337.73         Avg: 300.72 (7.31)       | ent 0.001 | w_noise: [0.01582 0.01731 0.02483 0.06417 0.12973 0.25703 0.34405 0.44823 0.53761 0.65995]
Step   41000 (g21.7+d66.5)s       | [D] min: 0.13       max: 1.20      | [R_te] min: 307.61         max: 383.20         Avg: 343.69 (7.94)       | ent 0.001 | w_noise: [0.01566 0.01718 0.02474 0.06395 0.12976 0.25780 0.34364 0.44853 0.53479 0.66075]
Step   42000 (g21.7+d66.5)s       | [D] min: 0.17       max: 1.96      | [R_te] min: 302.54         max: 396.18         Avg: 339.43 (9.39)       | ent 0.001 | w_noise: [0.01557 0.01706 0.02467 0.06378 0.12935 0.25756 0.34386 0.44859 0.53628 0.66089]
Step   43000 (g21.7+d66.5)s       | [D] min: 0.08       max: 2.53      | [R_te] min: 345.20         max: 588.01         Avg: 429.06 (20.24)      | ent 0.001 | w_noise: [0.01551 0.01704 0.02459 0.06372 0.12992 0.25701 0.34453 0.44830 0.53568 0.66097]
Step   44000 (g22.5+d67.9)s       | [D] min: 0.11       max: 2.34      | [R_te] min: 391.12         max: 552.20         Avg: 460.74 (16.97)      | ent 0.001 | w_noise: [0.01529 0.01687 0.02436 0.06355 0.12890 0.25625 0.34483 0.44660 0.53493 0.65958]
Step   45000 (g22.1+d68.0)s       | [D] min: 0.09       max: 1.63      | [R_te] min: 323.05         max: 986.21         Avg: 513.67 (57.18)      | ent 0.001 | w_noise: [0.01515 0.01679 0.02426 0.06323 0.12860 0.25634 0.34310 0.44662 0.53586 0.65907]
Step   46000 (g22.1+d67.9)s       | [D] min: 0.11       max: 2.07      | [R_te] min: 307.73         max: 487.35         Avg: 366.77 (15.57)      | ent 0.001 | w_noise: [0.01501 0.01662 0.02415 0.06292 0.12807 0.25582 0.34280 0.44668 0.53473 0.65773]
Step   47000 (g22.1+d68.0)s       | [D] min: 0.09       max: 1.58      | [R_te] min: 333.69         max: 493.32         Avg: 413.61 (16.45)      | ent 0.001 | w_noise: [0.01491 0.01654 0.02405 0.06275 0.12802 0.25624 0.34363 0.44570 0.53557 0.65934]
Step   48000 (g22.2+d68.0)s       | [D] min: 0.10       max: 1.46      | [R_te] min: 304.29         max: 613.85         Avg: 454.21 (25.83)      | ent 0.001 | w_noise: [0.01476 0.01641 0.02388 0.06277 0.12785 0.25587 0.34298 0.44554 0.53435 0.66071]
Step   49000 (g22.1+d68.0)s       | [D] min: 0.12       max: 2.17      | [R_te] min: 315.57         max: 546.14         Avg: 456.52 (24.94)      | ent 0.002 | w_noise: [0.01458 0.01624 0.02370 0.06250 0.12806 0.25619 0.34322 0.44597 0.53530 0.66084]
